Test epoch | Steps: 0 | Elapsed Time: 0:00:00
Test epoch | Steps: 1 | Elapsed Time: 0:00:05
Test epoch | Steps: 2 | Elapsed Time: 0:00:06
Test epoch | Steps: 3 | Elapsed Time: 0:00:06
Test epoch | Steps: 4 | Elapsed Time: 0:00:07
Test epoch | Steps: 5 | Elapsed Time: 0:00:07
Test epoch | Steps: 6 | Elapsed Time: 0:00:08
Test epoch | Steps: 7 | Elapsed Time: 0:00:09
Test epoch | Steps: 8 | Elapsed Time: 0:00:09
Test epoch | Steps: 9 | Elapsed Time: 0:00:10
Test epoch | Steps: 10 | Elapsed Time: 0:00:11
Test epoch | Steps: 11 | Elapsed Time: 0:00:12
Test epoch | Steps: 12 | Elapsed Time: 0:00:13
Test epoch | Steps: 13 | Elapsed Time: 0:00:13
Test epoch | Steps: 14 | Elapsed Time: 0:00:14
Test epoch | Steps: 15 | Elapsed Time: 0:00:16
Test epoch | Steps: 16 | Elapsed Time: 0:00:17
Test epoch | Steps: 17 | Elapsed Time: 0:00:18
Test epoch | Steps: 18 | Elapsed Time: 0:00:19
Test epoch | Steps: 19 | Elapsed Time: 0:00:20
Test epoch | Steps: 20 | Elapsed Time: 0:00:21
Test epoch | Steps: 21 | Elapsed Time: 0:00:22
Test epoch | Steps: 22 | Elapsed Time: 0:00:24
Test epoch | Steps: 23 | Elapsed Time: 0:00:25
Test epoch | Steps: 24 | Elapsed Time: 0:00:26
Test epoch | Steps: 25 | Elapsed Time: 0:00:27
Test epoch | Steps: 26 | Elapsed Time: 0:00:29
Test epoch | Steps: 27 | Elapsed Time: 0:00:30
Test epoch | Steps: 28 | Elapsed Time: 0:00:32
Test epoch | Steps: 29 | Elapsed Time: 0:00:34
Test epoch | Steps: 30 | Elapsed Time: 0:00:35
Test epoch | Steps: 31 | Elapsed Time: 0:00:36
Test epoch | Steps: 32 | Elapsed Time: 0:00:38
Test epoch | Steps: 33 | Elapsed Time: 0:00:40
Test epoch | Steps: 34 | Elapsed Time: 0:00:42
Test epoch | Steps: 35 | Elapsed Time: 0:00:44
Test epoch | Steps: 36 | Elapsed Time: 0:00:45
Test epoch | Steps: 37 | Elapsed Time: 0:00:47
Test epoch | Steps: 38 | Elapsed Time: 0:00:49
Test epoch | Steps: 39 | Elapsed Time: 0:00:51
Test epoch | Steps: 40 | Elapsed Time: 0:00:53
Test epoch | Steps: 41 | Elapsed Time: 0:00:55
Test epoch | Steps: 42 | Elapsed Time: 0:00:58
Test epoch | Steps: 43 | Elapsed Time: 0:01:00
Test epoch | Steps: 44 | Elapsed Time: 0:01:02
Test epoch | Steps: 45 | Elapsed Time: 0:01:04
Test epoch | Steps: 46 | Elapsed Time: 0:01:07
Test epoch | Steps: 47 | Elapsed Time: 0:01:10
Test epoch | Steps: 48 | Elapsed Time: 0:01:12
Test epoch | Steps: 49 | Elapsed Time: 0:01:15
Test epoch | Steps: 50 | Elapsed Time: 0:01:18
Test epoch | Steps: 50 | Elapsed Time: 0:01:18
